IFE,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Fund. Univ Federal Da Grande Dourados,9,7,11,6,8,3,2,6,8,6
Fund. Universidade De Sao Joao Del Rei,10,14,4,7,11,3,9,5,8,7
Fund. Universidade Federal De Rondonia,2,6,14,10,14,5,4,12,7,17
Fund.Univ.Fed.Cienc.Saude D Porto Alegre,4,7,3,2,3,1,1,8,5,4
Fund.Univ.Fed.Do Vale Do Sao Francisco,1,0,4,2,3,1,1,3,1,6
Fundacao Univ. Federal De Ouro Preto,14,15,31,22,19,10,14,16,9,8
Fundacao Univ. Federal De Uberlandia,34,37,57,39,49,14,27,25,30,23
Fundacao Universidade De Brasilia,43,29,75,45,52,19,31,45,48,46
Fundacao Universidade Do Amazonas,24,19,29,14,34,12,13,27,23,24
Fundacao Universidade Do Maranhao,23,14,23,23,20,14,20,35,27,28
Fundacao Universidade Fed. Do Tocantins,3,5,8,6,10,1,1,0,0,0
Fundacao Universidade Federal De Pelotas,14,11,41,28,47,12,14,29,24,21
Fundacao Universidade Federal De Sergipe,13,23,15,25,32,5,10,26,30,11
Fundacao Universidade Federal Do Abc,3,0,1,3,7,1,0,3,3,3
Fundacao Universidade Federal Do Pampa,0,2,2,0,3,1,1,4,7,4
Fundacao Unversidade Federal Do Amapa,2,1,1,1,0,0,2,0,2,0
Un. Int.Intern. Lusofonia Afrobrasileira,0,0,1,1,0,0,0,1,1,1
Uni.Fed.Vales Do Jequitinhonha E Mucuri,3,1,1,2,5,4,2,3,6,3
Univ. Federal De Mato Grosso Do Sul,31,18,48,29,47,22,16,16,21,22
Univ. Federal Do Delta Do Parnaiba,0,0,0,0,0,0,0,0,0,0
Univ. Federal Do Reconcavo Da Bahia,2,2,3,0,5,2,2,8,9,5
Univ. Federal Rural Do Rio De Janeiro,10,20,23,23,27,13,16,27,17,14
Univ.Fed. Da Integracao Latino-Americana,0,0,0,2,1,2,1,0,0,0
Univer. Federal Do Agreste De Pernambuco,0,0,0,0,0,0,0,0,0,0
Univers. Tecnologica Federal Do Parana,4,9,3,6,11,5,4,14,7,5
Universidade Federal do Estado Do Rio De Janeiro,12,9,14,25,20,13,13,22,30,26
Universidade Fed. Do Rio Grande Do Norte,40,41,53,38,66,29,42,28,29,26
Universidade Fed. Do Rio Grande Do Sul,70,53,111,59,95,33,64,68,71,59
Universidade Fed. Rural Do Semi-Arido,2,1,0,2,6,1,4,0,2,8
Universidade Fed. Sul Sudeste Do Para,0,0,0,0,1,0,1,2,1,1
Universidade Fed.Do Triangulo Mineiro,8,7,10,5,10,3,5,14,4,5
Universidade Federal Da Bahia,59,61,63,67,93,25,46,39,50,39
Universidade Federal Da Fronteira Sul,0,0,1,2,2,0,3,1,2,3
Universidade Federal Da Paraiba,38,48,77,48,89,29,29,64,49,35
Universidade Federal De Alagoas,17,22,39,40,39,10,17,26,18,29
Universidade Federal De Alfenas,7,3,4,6,5,3,1,4,5,2
Universidade Federal De Campina Grande,26,25,23,11,23,9,14,29,23,22
Universidade Federal De Catalao,0,0,0,0,0,0,0,0,3,1
Universidade Federal De Goias,24,31,68,42,53,27,41,36,27,25
Universidade Federal De Itajuba,7,9,8,5,9,1,6,5,3,3
Universidade Federal De Jatai,0,0,0,0,0,0,0,0,1,3
Universidade Federal De Juiz De Fora,23,23,34,26,32,21,19,21,18,35
Universidade Federal De Lavras,11,12,15,13,19,4,8,7,7,6
Universidade Federal De Mato Grosso,43,52,45,46,59,14,34,29,25,30
Universidade Federal De Minas Gerais,51,118,128,90,106,65,60,70,74,45
Universidade Federal De Pernambuco,41,44,55,40,55,27,37,50,53,44
Universidade Federal De Rondonopolis,0,0,0,0,0,0,0,0,2,3
Universidade Federal De Roraima,1,5,5,6,11,5,8,4,12,12
Universidade Federal De Santa Catarina,72,85,99,76,98,38,39,47,44,34
Universidade Federal De Santa Maria,34,42,39,39,56,21,16,43,44,35
Universidade Federal De Sao Carlos,22,35,25,29,31,11,6,18,26,20
Universidade Federal De Sao Paulo,29,15,43,20,40,14,10,36,29,30
Universidade Federal De Vicosa,27,22,24,32,48,9,14,22,25,21
Universidade Federal Do Acre,3,10,11,10,10,4,9,13,13,3
Universidade Federal Do Cariri,0,0,0,0,0,0,1,1,2,1
Universidade Federal Do Ceara,43,31,38,37,33,21,17,31,23,36
Universidade Federal Do Espirito Santo,32,24,44,36,58,13,34,24,33,28
Universidade Federal Do Oeste Da Bahia,0,0,0,1,0,0,0,0,0,0
Universidade Federal Do Oeste Do Para,0,0,0,0,2,2,3,1,3,4
Universidade Federal Do Para,46,29,45,32,50,22,22,44,33,40
Universidade Federal Do Parana,77,38,64,47,74,43,42,54,42,52
Universidade Federal Do Piaui,33,25,27,16,37,21,22,21,16,16
Universidade Federal Do Rio De Janeiro,92,74,109,94,141,68,75,97,107,104
Universidade Federal Do Rio Grande,14,14,18,17,23,8,17,20,10,11
Universidade Federal Do Sul Da Bahia,0,0,1,1,1,0,0,0,2,0
Universidade Federal Fluminense,64,85,120,66,104,30,50,63,58,36
Universidade Federal Norte Do Tocantins,0,0,0,0,0,0,0,0,0,1
Universidade Federal Rural Da Amazonia,6,3,12,1,5,1,2,2,3,7
Universidade Federal Rural De Pernambuco,12,11,27,23,28,10,8,15,14,12
