Instituição,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Fund. Univ Federal Da Grande Dourados,90,16,44,39,13,4,5,12,19,21
Fund. Universidade De Sao Joao Del Rei,27,68,46,24,29,18,2,27,30,16
Fund. Universidade Federal De Rondonia,52,35,36,40,31,1,4,61,12,35
Fund.Univ.Fed.Cienc.Saude D Porto Alegre,17,9,23,22,5,7,4,2,18,4
Fund.Univ.Fed.Do Vale Do Sao Francisco,36,57,35,29,27,0,5,27,10,52
Fundacao Univ. Federal De Ouro Preto,42,45,12,38,95,28,5,4,31,4
Fundacao Univ. Federal De Uberlandia,68,75,67,63,51,30,29,42,43,47
Fundacao Universidade De Brasilia,99,128,80,76,77,33,36,76,67,43
Fundacao Universidade Do Amazonas,92,105,65,61,117,17,25,56,61,42
Fundacao Universidade Do Maranhao,207,111,72,56,65,12,36,47,62,44
Fundacao Universidade Fed. Do Tocantins,76,80,37,79,46,14,21,50,14,15
Fundacao Universidade Federal De Pelotas,59,45,46,53,45,23,34,22,63,7
Fundacao Universidade Federal De Sergipe,70,47,69,57,40,20,15,53,33,34
Fundacao Universidade Federal Do Abc,52,45,56,50,18,6,1,20,9,18
Fundacao Universidade Federal Do Pampa,74,84,31,41,39,8,17,54,27,37
Fundacao Unversidade Federal Do Amapa,91,55,32,35,4,3,0,40,9,9
Un. Int.Intern. Lusofonia Afrobrasileira,40,68,57,45,16,11,0,8,13,27
Uni.Fed.Vales Do Jequitinhonha E Mucuri,78,61,58,41,59,10,12,18,28,20
Univ. Federal De Mato Grosso Do Sul,65,112,64,64,121,38,22,39,56,36
Univ. Federal Do Delta Do Parnaiba,0,0,0,0,0,0,0,0,3,4
Univ. Federal Do Reconcavo Da Bahia,79,104,69,58,53,13,12,12,28,18
Univ. Federal Rural Do Rio De Janeiro,62,40,35,37,53,18,12,37,37,44
Univ.Fed. Da Integracao Latino-Americana,63,44,7,13,14,1,1,20,13,14
Univer. Federal Do Agreste De Pernambuco,0,0,0,0,0,0,0,0,0,0
Univers. Tecnologica Federal Do Parana,179,110,56,50,53,13,4,63,37,42
Universidade Federal do Estado Do Rio De Janeiro,26,26,21,20,37,6,6,19,15,13
Universidade Fed. Do Rio Grande Do Norte,99,129,91,84,79,52,56,42,33,37
Universidade Fed. Do Rio Grande Do Sul,102,120,98,134,123,50,33,89,49,103
Universidade Fed. Rural Do Semi-Arido,57,34,68,24,25,7,6,37,27,21
Universidade Fed. Sul Sudeste Do Para,55,37,92,54,62,23,11,40,3,24
Universidade Fed.Do Triangulo Mineiro,39,14,66,23,22,16,7,13,20,10
Universidade Federal Da Bahia,175,148,176,89,130,62,24,79,61,91
Universidade Federal Da Fronteira Sul,48,48,36,25,16,6,8,7,23,17
Universidade Federal Da Paraiba,56,97,70,59,84,38,31,47,55,63
Universidade Federal De Alagoas,92,56,106,62,50,33,17,61,51,19
Universidade Federal De Alfenas,43,34,33,25,31,18,10,13,24,14
Universidade Federal De Campina Grande,54,74,42,32,33,9,0,2,3,115
Universidade Federal De Catalao,0,0,0,0,0,0,0,0,6,10
Universidade Federal De Goias,101,153,92,124,66,51,59,93,69,32
Universidade Federal De Itajuba,36,21,29,12,18,6,3,14,11,16
Universidade Federal De Jatai,0,0,0,0,0,0,0,0,8,14
Universidade Federal De Juiz De Fora,79,62,66,62,44,13,8,69,34,31
Universidade Federal De Lavras,70,68,17,59,50,5,7,34,31,38
Universidade Federal De Mato Grosso,130,98,76,99,82,12,8,84,35,53
Universidade Federal De Minas Gerais,125,211,138,115,179,37,29,96,57,125
Universidade Federal De Pernambuco,120,94,77,10,154,37,50,54,48,102
Universidade Federal De Rondonopolis,0,0,0,0,0,0,0,0,1,33
Universidade Federal De Roraima,27,51,34,18,39,3,0,56,9,58
Universidade Federal De Santa Catarina,155,128,101,139,171,17,40,77,70,70
Universidade Federal De Santa Maria,106,119,81,80,103,30,35,41,69,36
Universidade Federal De Sao Carlos,82,64,39,48,41,13,2,22,24,27
Universidade Federal De Sao Paulo,36,56,120,61,56,43,21,26,55,51
Universidade Federal De Vicosa,62,39,39,39,49,24,36,40,34,42
Universidade Federal Do Acre,8,61,25,6,49,2,8,56,14,23
Universidade Federal Do Cariri,0,0,0,0,0,1,3,19,26,12
Universidade Federal Do Ceara,109,167,111,108,93,20,30,35,59,66
Universidade Federal Do Espirito Santo,63,103,75,60,90,30,25,32,34,14
Universidade Federal Do Oeste Da Bahia,58,55,58,56,17,11,11,8,29,11
Universidade Federal Do Oeste Do Para,12,5,81,32,5,0,7,16,6,24
Universidade Federal Do Para,71,159,136,51,92,50,61,80,42,61
Universidade Federal Do Parana,160,151,79,93,102,18,36,105,83,69
Universidade Federal Do Piaui,140,99,71,60,56,17,9,56,79,44
Universidade Federal Do Rio De Janeiro,139,105,93,259,63,112,112,39,77,18
Universidade Federal Do Rio Grande,55,51,25,23,48,34,10,39,29,29
Universidade Federal Do Sul Da Bahia,24,0,0,131,19,8,7,16,17,26
Universidade Federal Fluminense,146,151,96,168,106,91,93,77,67,109
Universidade Federal Norte Do Tocantins,0,0,0,0,0,0,0,0,1,13
Universidade Federal Rural Da Amazonia,6,69,88,21,19,34,7,30,26,20
Universidade Federal Rural De Pernambuco,85,39,41,62,53,27,18,27,32,27
