IFE,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Fund. Univ Federal Da Grande Dourados,34,50,48,46,44,21,32,47,51,46
Fund. Universidade De Sao Joao Del Rei,66,62,57,53,62,1,24,34,41,42
Fund. Universidade Federal De Rondonia,9,33,21,41,22,5,8,21,36,37
Fund.Univ.Fed.Cienc.Saude D Porto Alegre,0,0,0,1,5,3,11,11,10,19
Fund.Univ.Fed.Do Vale Do Sao Francisco,52,52,24,37,46,0,34,19,33,29
Fundacao Univ. Federal De Ouro Preto,0,0,0,46,72,9,83,46,78,63
Fundacao Univ. Federal De Uberlandia,100,89,78,59,95,13,55,44,68,66
Fundacao Universidade De Brasilia,208,210,215,163,262,85,168,168,207,188
Fundacao Universidade Do Amazonas,138,180,143,172,188,27,203,129,166,150
Fundacao Universidade Do Maranhao,72,85,124,91,84,29,121,65,119,70
Fundacao Universidade Fed. Do Tocantins,0,0,0,17,78,12,79,62,80,36
Fundacao Universidade Federal De Pelotas,56,92,118,96,101,26,83,52,101,76
Fundacao Universidade Federal De Sergipe,145,120,154,109,147,37,84,75,131,99
Fundacao Universidade Federal Do Abc,0,0,0,0,0,0,0,0,0,0
Fundacao Universidade Federal Do Pampa,62,75,86,54,59,31,33,39,52,59
Fundacao Unversidade Federal Do Amapa,24,27,32,41,54,2,22,55,37,26
Un. Int.Intern. Lusofonia Afrobrasileira,7,13,9,7,8,0,25,9,20,8
Uni.Fed.Vales Do Jequitinhonha E Mucuri,56,45,59,57,86,1,47,48,59,58
Univ. Federal De Mato Grosso Do Sul,102,100,138,101,122,68,51,61,73,53
Univ. Federal Do Delta Do Parnaiba,0,0,0,0,0,0,0,0,160,28
Univ. Federal Do Reconcavo Da Bahia,47,31,61,42,75,1,102,54,92,77
Univ. Federal Rural Do Rio De Janeiro,103,65,98,67,89,1,86,49,71,55
Univ.Fed. Da Integracao Latino-Americana,5,14,22,12,19,8,23,9,15,12
Univer. Federal Do Agreste De Pernambuco,0,0,0,0,0,0,0,0,42,6
Univers. Tecnologica Federal Do Parana,115,144,120,92,110,15,97,80,105,91
Universidade Federal do Estado Do Rio De Janeiro,4,18,14,22,20,6,12,16,34,52
Universidade Fed. Do Rio Grande Do Norte,282,176,203,175,146,48,154,130,178,155
Universidade Fed. Do Rio Grande Do Sul,116,74,124,83,96,28,90,87,93,66
Universidade Fed. Rural Do Semi-Arido,69,71,72,58,76,31,56,51,44,41
Universidade Fed. Sul Sudeste Do Para,14,9,10,22,19,0,5,19,10,14
Universidade Fed.Do Triangulo Mineiro,52,24,40,30,40,15,26,26,33,22
Universidade Federal Da Bahia,161,339,226,173,220,54,244,186,251,197
Universidade Federal Da Fronteira Sul,45,63,85,64,85,30,67,47,62,53
Universidade Federal Da Paraiba,72,144,161,131,111,22,64,90,101,100
Universidade Federal De Alagoas,83,109,83,142,140,8,91,50,64,85
Universidade Federal De Alfenas,52,41,46,29,34,12,30,27,37,32
Universidade Federal De Campina Grande,81,107,94,93,78,27,74,82,86,71
Universidade Federal De Catalao,0,0,0,0,0,0,0,0,138,17
Universidade Federal De Goias,205,168,185,193,176,71,128,111,112,109
Universidade Federal De Itajuba,21,14,33,27,30,8,13,12,20,22
Universidade Federal De Jatai,0,0,0,0,0,0,0,0,267,31
Universidade Federal De Juiz De Fora,124,130,114,104,112,40,123,73,105,103
Universidade Federal De Lavras,44,25,27,45,53,9,45,37,29,36
Universidade Federal De Mato Grosso,16,0,0,39,122,0,136,139,129,82
Universidade Federal De Minas Gerais,149,193,175,156,174,21,93,103,214,157
Universidade Federal De Pernambuco,242,206,214,238,179,91,299,159,269,179
Universidade Federal De Rondonopolis,0,0,0,0,0,0,0,0,100,33
Universidade Federal De Roraima,29,43,37,26,57,9,74,21,58,42
Universidade Federal De Santa Catarina,167,148,161,134,165,37,120,108,191,187
Universidade Federal De Santa Maria,123,108,111,93,97,26,69,81,63,74
Universidade Federal De Sao Carlos,90,94,105,70,87,18,83,63,80,86
Universidade Federal De Sao Paulo,20,25,31,28,21,7,8,11,20,37
Universidade Federal De Vicosa,63,59,80,58,71,38,47,49,41,40
Universidade Federal Do Acre,70,74,64,80,49,16,71,60,87,65
Universidade Federal Do Cariri,0,0,0,0,144,7,13,14,27,7
Universidade Federal Do Ceara,172,141,136,131,122,66,83,64,123,99
Universidade Federal Do Espirito Santo,177,159,163,120,134,47,122,100,123,132
Universidade Federal Do Oeste Da Bahia,23,16,31,28,53,3,50,39,44,37
Universidade Federal Do Oeste Do Para,1,23,18,16,25,2,22,21,32,32
Universidade Federal Do Para,110,145,116,130,129,24,115,89,104,106
Universidade Federal Do Parana,0,7,129,129,130,19,129,110,133,131
Universidade Federal Do Piaui,177,167,129,156,121,37,152,58,129,87
Universidade Federal Do Rio De Janeiro,474,527,430,485,419,284,441,341,539,382
Universidade Federal Do Rio Grande,65,52,65,48,61,24,65,37,47,36
Universidade Federal Do Sul Da Bahia,10,5,17,12,7,7,10,3,15,19
Universidade Federal Fluminense,169,133,189,178,198,44,79,101,166,157
Universidade Federal Norte Do Tocantins,0,0,0,0,0,0,0,0,54,22
Universidade Federal Rural Da Amazonia,11,21,29,47,35,10,54,20,27,36
Universidade Federal Rural De Pernambuco,35,32,27,53,32,1,8,22,47,25
