IFE,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Fund. Univ Federal Da Grande Dourados,10,6,3,6,10,2,7,3,9,3
Fund. Universidade De Sao Joao Del Rei,7,12,5,9,15,7,7,17,7,12
Fund. Universidade Federal De Rondonia,16,12,5,7,11,8,2,8,10,14
Fund.Univ.Fed.Cienc.Saude D Porto Alegre,8,4,6,7,1,2,0,5,2,1
Fund.Univ.Fed.Do Vale Do Sao Francisco,7,8,9,3,5,3,3,3,8,11
Fundacao Univ. Federal De Ouro Preto,10,17,8,4,15,6,8,9,9,6
Fundacao Univ. Federal De Uberlandia,8,10,13,9,14,7,8,19,21,13
Fundacao Universidade De Brasilia,7,9,15,21,7,8,13,23,18,21
Fundacao Universidade Do Amazonas,21,12,23,16,14,11,13,13,14,16
Fundacao Universidade Do Maranhao,19,14,11,13,13,11,14,19,18,16
Fundacao Universidade Fed. Do Tocantins,12,13,11,13,7,8,7,11,9,13
Fundacao Universidade Federal De Pelotas,19,5,11,7,7,4,5,1,8,9
Fundacao Universidade Federal De Sergipe,9,9,9,6,13,6,10,5,5,8
Fundacao Universidade Federal Do Abc,8,5,2,7,4,7,1,6,9,13
Fundacao Universidade Federal Do Pampa,24,12,19,17,11,8,11,9,16,9
Fundacao Unversidade Federal Do Amapa,22,10,9,10,10,2,1,5,3,7
Un. Int.Intern. Lusofonia Afrobrasileira,6,9,8,4,4,2,3,1,2,1
Uni.Fed.Vales Do Jequitinhonha E Mucuri,13,11,15,11,19,6,8,19,5,7
Univ. Federal De Mato Grosso Do Sul,22,16,13,15,21,9,16,19,17,15
Univ. Federal Do Delta Do Parnaiba,1,2,1,2,5,1,0,0,1,0
Univ. Federal Do Reconcavo Da Bahia,8,7,12,13,8,10,4,8,12,6
Univ. Federal Rural Do Rio De Janeiro,7,6,4,14,6,10,7,9,13,7
Univ.Fed. Da Integracao Latino-Americana,4,9,10,5,8,4,7,8,4,9
Univer. Federal Do Agreste De Pernambuco,1,1,1,0,0,0,0,0,0,0
Univers. Tecnologica Federal Do Parana,19,9,8,21,12,8,9,21,15,11
Universidade Federal do Estado Do Rio De Janeiro,13,2,5,10,5,1,6,6,4,4
Universidade Fed. Do Rio Grande Do Norte,8,15,11,16,18,15,8,18,24,14
Universidade Fed. Do Rio Grande Do Sul,11,4,13,9,10,6,7,13,18,8
Universidade Fed. Rural Do Semi-Arido,8,9,9,11,9,3,3,3,15,8
Universidade Fed. Sul Sudeste Do Para,3,3,11,14,11,7,3,14,5,11
Universidade Fed.Do Triangulo Mineiro,7,7,4,8,7,4,1,5,9,7
Universidade Federal Da Bahia,13,14,17,11,10,7,7,14,18,17
Universidade Federal Da Fronteira Sul,12,10,8,5,10,5,11,13,11,8
Universidade Federal Da Paraiba,10,16,11,10,12,7,6,8,11,8
Universidade Federal De Alagoas,9,13,7,12,13,5,4,6,20,12
Universidade Federal De Alfenas,7,8,5,12,11,4,2,10,6,9
Universidade Federal De Campina Grande,13,12,15,12,8,5,8,3,7,6
Universidade Federal De Catalao,0,1,2,0,1,1,1,0,0,5
Universidade Federal De Goias,13,21,10,15,10,10,9,11,15,11
Universidade Federal De Itajuba,6,15,6,4,3,3,2,7,3,1
Universidade Federal De Jatai,5,3,5,8,3,6,5,12,7,4
Universidade Federal De Juiz De Fora,14,17,19,12,16,4,6,8,19,12
Universidade Federal De Lavras,7,5,3,3,7,1,2,8,7,9
Universidade Federal De Mato Grosso,19,26,22,21,19,16,13,22,17,17
Universidade Federal De Minas Gerais,14,18,19,18,10,14,15,22,26,31
Universidade Federal De Pernambuco,10,11,12,16,21,10,9,10,14,13
Universidade Federal De Rondonopolis,0,0,0,0,0,0,0,2,4,4
Universidade Federal De Roraima,7,6,8,12,6,6,4,14,8,6
Universidade Federal De Santa Catarina,15,13,11,14,9,12,10,26,18,15
Universidade Federal De Santa Maria,15,11,14,16,20,12,6,5,13,11
Universidade Federal De Sao Carlos,10,12,11,4,5,4,2,12,5,13
Universidade Federal De Sao Paulo,9,8,9,10,13,8,3,19,9,14
Universidade Federal De Vicosa,15,8,7,6,15,5,8,6,17,12
Universidade Federal Do Acre,7,9,8,2,3,3,5,13,6,7
Universidade Federal Do Cariri,5,2,1,0,3,4,0,3,1,3
Universidade Federal Do Ceara,5,20,19,16,14,14,9,16,26,8
Universidade Federal Do Espirito Santo,11,7,12,12,18,4,8,3,5,8
Universidade Federal Do Oeste Da Bahia,2,6,10,9,17,5,7,7,9,8
Universidade Federal Do Oeste Do Para,4,6,6,0,6,1,2,2,5,6
Universidade Federal Do Para,12,8,16,10,10,19,22,13,17,10
Universidade Federal Do Parana,17,11,13,15,16,9,15,19,32,27
Universidade Federal Do Piaui,10,21,19,13,12,6,2,8,11,14
Universidade Federal Do Rio De Janeiro,34,20,10,16,19,16,31,31,24,20
Universidade Federal Do Rio Grande,11,6,13,8,14,6,7,6,5,9
Universidade Federal Do Sul Da Bahia,2,1,3,4,6,1,4,4,7,6
Universidade Federal Fluminense,40,18,29,26,29,24,11,22,18,17
Universidade Federal Norte Do Tocantins,1,0,1,1,0,0,1,1,4,1
Universidade Federal Rural Da Amazonia,2,4,1,7,4,1,4,8,7,4
Universidade Federal Rural De Pernambuco,5,7,8,2,4,4,7,4,7,8
