IFE,Sigla,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Fund. Univ Federal Da Grande Dourados,UFGD,553,560,583,606,596,595,589,590,589,601
Fund. Universidade De Sao Joao Del Rei,FUNREI,776,805,852,854,863,862,851,859,880,875
Fund. Universidade Federal De Rondonia,UNIR,773,780,780,815,818,805,797,830,820,826
Fund.Univ.Fed.Cienc.Saude D Porto Alegre,UFCSPA,336,337,347,360,362,360,370,360,370,371
Fund.Univ.Fed.Do Vale Do Sao Francisco,UNIVASF,491,532,533,562,580,573,571,593,588,621
Fundacao Univ. Federal De Ouro Preto,FUFOP,860,874,848,869,913,929,925,904,918,902
Fundacao Univ. Federal De Uberlandia,UFU,1744,1780,1780,1808,1792,1803,1802,1802,1793,1807
Fundacao Universidade De Brasilia,UNB,2456,2540,2543,2574,2592,2604,2588,2609,2616,2606
Fundacao Universidade Do Amazonas,FUAM,1537,1595,1600,1628,1667,1657,1634,1649,1651,1640
Fundacao Universidade Do Maranhao,UFMA,1572,1684,1712,1735,1765,1747,1740,1732,1736,1741
Fundacao Universidade Fed. Do Tocantins,FUFT,978,1031,1045,1096,1106,1100,1092,1125,810,792
Fundacao Universidade Federal De Pelotas,FUFPEL,1322,1350,1341,1357,1348,1358,1366,1367,1387,1369
Fundacao Universidade Federal De Sergipe,FUFS,1455,1462,1503,1532,1523,1525,1527,1561,1559,1573
Fundacao Universidade Federal Do Abc,UFABC,575,620,686,733,742,740,739,750,749,753
Fundacao Universidade Federal Do Pampa,UNIPAMPA,771,838,843,855,871,863,860,895,889,903
Fundacao Unversidade Federal Do Amapa,UNIFAP,516,622,639,664,649,642,631,659,653,653
Un. Int.Intern. Lusofonia Afrobrasileira,UNILAB,199,258,309,349,364,367,374,373,385,408
Uni.Fed.Vales Do Jequitinhonha E Mucuri,UFVJM,671,719,756,787,820,810,817,817,833,842
Univ. Federal De Mato Grosso Do Sul,UFMS,1321,1399,1400,1437,1475,1475,1485,1487,1484,1496
Univ. Federal Do Delta Do Parnaiba,UFDPAR,0,0,0,0,0,0,0,0,236,239
